id,name,supertype,subtypes,hp,types,evolvesTo,rules,attacks,weaknesses,retreatCost,set_id,set_name,rarity,nationalPokedexNumbers,image_url,price
xy5-30,Horsea,Pokémon,Basic,60,Water,Seadra,,Bubble,Grass,Colorless,xy5,Primal Clash,Common,116,https://images.pokemontcg.io/xy5/30_hires.png,
sv3pt5-194,Bill's Transfer,Trainer,Supporter,,,,"Look at the top 8 cards of your deck. You may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards back into your deck., You may play only 1 Supporter card during your turn.",,,,sv3pt5,151,Ultra Rare,,https://images.pokemontcg.io/sv3pt5/194_hires.png,4.39
swsh12pt5gg-GG25,Bibarel,Pokémon,Stage 1,120,Colorless,,,Tail Smash,Fighting,"Colorless, Colorless",swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,400,https://images.pokemontcg.io/swsh12pt5gg/GG25_hires.png,3.07
swsh5-175,Phoebe,Trainer,Supporter,,,,"During this turn, damage from your Pokémon VMAX's attacks isn't affected by any effects on your opponent's Active Pokémon., You may play only 1 Supporter card during your turn.",,,,swsh5,Battle Styles,Rare Rainbow,,https://images.pokemontcg.io/swsh5/175_hires.png,6.89
swsh10-11,Combee,Pokémon,Basic,50,Grass,Vespiquen,,"Honey Courier, Bug Bite",Fire,Colorless,swsh10,Astral Radiance,Common,415,https://images.pokemontcg.io/swsh10/11_hires.png,
ex4-45,Slowpoke,Pokémon,Basic,50,Psychic,"Slowbro, Slowking",,"Amnesia, Tail Strike",Psychic,Colorless,ex4,Team Magma vs Team Aqua,Common,79,https://images.pokemontcg.io/ex4/45_hires.png,
sm7-167,TV Reporter,Trainer,Supporter,,,,"Draw 3 cards. Then, discard a card from your hand. If you have no cards in your deck, you can't play this card., You may play only 1 Supporter card during your turn (before your attack).",,,,sm7,Celestial Storm,Rare Ultra,,https://images.pokemontcg.io/sm7/167_hires.png,44.37
base4-7,Gyarados,Pokémon,Stage 1,100,Water,,,"Dragon Rage, Bubblebeam",Grass,"Colorless, Colorless, Colorless",base4,Base Set 2,Rare Holo,130,https://images.pokemontcg.io/base4/7_hires.png,20.25
xy4-19,Lumineon,Pokémon,Stage 1,80,Water,,,"Neon Sign, Water Pulse",Grass,Colorless,xy4,Phantom Forces,Uncommon,457,https://images.pokemontcg.io/xy4/19_hires.png,
bw4-34,Frillish,Pokémon,Basic,80,Water,Jellicent,,"Bubble, Spit Poison",Lightning,"Colorless, Colorless",bw4,Next Destinies,Uncommon,592,https://images.pokemontcg.io/bw4/34_hires.png,
sv3pt5-197,Giovanni's Charisma,Trainer,Supporter,,,,"Put an Energy attached to your opponent's Active Pokémon into their hand. If you do, attach an Energy card from your hand to your Active Pokémon., You may play only 1 Supporter card during your turn.",,,,sv3pt5,151,Ultra Rare,,https://images.pokemontcg.io/sv3pt5/197_hires.png,6.1
swsh12pt5gg-GG24,Miltank,Pokémon,Basic,110,Colorless,,,Rout,Fighting,"Colorless, Colorless",swsh12pt5gg,Crown Zenith Galarian Gallery,Trainer Gallery Rare Holo,241,https://images.pokemontcg.io/swsh12pt5gg/GG24_hires.png,1.24
